time,Mag1_X,Mag1_Y,Mag1_Z,Mag1_Len,Mag1_CarLen,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,Mag2_Len,Mag2_CarLen,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,Mag3_Len,Mag3_CarLen,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,Mag4_Len,Mag4_CarLen,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
18:36.4,172,-107,-153,253.8542889,7.119747387,177.5537484,-105.0928688,-157.0261063,0,193,-77,-246,322.0155276,6.109336493,198.2572531,-73.89149844,-245.85,0,297,-57,-193,358.7575783,7.868719775,303.1036266,-53.85149219,-196.8404938,0,310,-139,-103,355.0070422,11.71916331,318.6414984,-135.4215156,-110.0610016,0
18:36.9,165,-112,-149,248.9377432,16.42325922,177.5537484,-105.0928688,-157.0261063,0,181,-83,-238,310.3127455,21.03330897,198.2572531,-73.89149844,-245.85,0,276,-65,-183,337.4759251,32.41072456,303.1036266,-53.85149219,-196.8404938,0,273,-148,-100,326.2407087,48.4002934,318.6414984,-135.4215156,-110.0610016,0
18:37.3,99,-118,-152,216.4000924,79.76557638,177.5537484,-105.0928688,-157.0261063,0,63,-83,-293,310.9774911,143.5291323,198.2572531,-73.89149844,-245.85,0,79,-71,-370,384.9441518,283.7264904,303.1036266,-53.85149219,-196.8404938,0,48,-3,-648,649.7822712,616.5716864,318.6414984,-135.4215156,-110.0610016,0
18:37.7,191,-91,-781,809.1495535,624.2778474,177.5537484,-105.0928688,-157.0261063,0,453,38,-555,717.4106216,415.9174161,198.2572531,-73.89149844,-245.85,0,361,173,-316,510.0058823,262.7024505,303.1036266,-53.85149219,-196.8404938,0,356,94,-277,460.7613265,286.1791723,318.6414984,-135.4215156,-110.0610016,0
18:38.1,253,77,-321,415.9074416,256.3930334,177.5537484,-105.0928688,-157.0261063,0,261,50,-380,463.7035691,193.0854168,198.2572531,-73.89149844,-245.85,0,344,25,-339,483.613482,167.6287457,303.1036266,-53.85149219,-196.8404938,0,368,-30,-232,436.059629,168.5795865,318.6414984,-135.4215156,-110.0610016,0
18:38.6,230,-15,-270,355,153.7219404,177.5537484,-105.0928688,-157.0261063,2,241,7,-341,417.6254303,131.9996191,198.2572531,-73.89149844,-245.85,2,339,20,-278,438.8678617,115.4532718,303.1036266,-53.85149219,-196.8404938,2,353,-39,-173,395.0430356,120.1621106,318.6414984,-135.4215156,-110.0610016,2
18:39.0,208,-22,-220,303.5588905,108.6145035,177.5537484,-105.0928688,-157.0261063,2,226,4,-304,378.8244976,101.0849545,198.2572531,-73.89149844,-245.85,2,325,22,-241,405.2036525,90.45972601,303.1036266,-53.85149219,-196.8404938,2,331,-46,-145,364.2828571,96.79707449,318.6414984,-135.4215156,-110.0610016,2
18:39.4,186,-4,-200,273.1519724,110.1719693,177.5537484,-105.0928688,-157.0261063,2,199,7,-292,353.4317473,93.13328456,198.2572531,-73.89149844,-245.85,2,296,20,-241,382.2263727,86.33983091,303.1036266,-53.85149219,-196.8404938,2,311,-53,-148,348.4738154,91.05529276,318.6414984,-135.4215156,-110.0610016,2
18:39.8,172,-31,-198,264.1003597,84.84961573,177.5537484,-105.0928688,-157.0261063,2,191,4,-293,349.7799308,91.33934394,198.2572531,-73.89149844,-245.85,2,295,32,-251,388.6515149,101.8302489,303.1036266,-53.85149219,-196.8404938,2,313,-43,-154,351.4740389,102.4899929,318.6414984,-135.4215156,-110.0610016,2
18:40.3,171,-27,-197,262.257507,87.97363213,177.5537484,-105.0928688,-157.0261063,2,192,3,-292,349.4810438,89.8959301,198.2572531,-73.89149844,-245.85,2,295,38,-255,391.7831033,109.0178588,303.1036266,-53.85149219,-196.8404938,2,311,-47,-153,349.7699244,98.59266966,318.6414984,-135.4215156,-110.0610016,2
18:40.7,173,-30,-201,266.8894902,87.13999595,177.5537484,-105.0928688,-157.0261063,2,191,-1,-291,348.0847598,86.04859538,198.2572531,-73.89149844,-245.85,2,293,27,-250,386.106203,97.28812961,303.1036266,-53.85149219,-196.8404938,2,315,-14,-148,348.317384,127.2627698,318.6414984,-135.4215156,-110.0610016,2
18:41.1,173,-12,-200,264.7130522,102.6341775,177.5537484,-105.0928688,-157.0261063,2,190,-2,-289,345.8684721,84.25255057,198.2572531,-73.89149844,-245.85,2,294,25,-249,386.0854828,94.97919735,303.1036266,-53.85149219,-196.8404938,2,313,-31,-159,352.4358098,115.4586723,318.6414984,-135.4215156,-110.0610016,2
18:41.5,171,-24,-202,265.7461194,92.96050828,177.5537484,-105.0928688,-157.0261063,2,192,5,-292,349.5039342,91.61246772,198.2572531,-73.89149844,-245.85,2,293,20,-247,383.7421009,89.84487874,303.1036266,-53.85149219,-196.8404938,2,311,-46,-151,348.7663975,98.6438115,318.6414984,-135.4215156,-110.0610016,2
18:41.9,173,-22,-201,266.1090002,94.12154266,177.5537484,-105.0928688,-157.0261063,2,191,0,-292,348.9197616,87.42107163,198.2572531,-73.89149844,-245.85,2,293,27,-249,385.4594661,96.74534175,303.1036266,-53.85149219,-196.8404938,2,311,-53,-150,349.3279262,91.9065957,318.6414984,-135.4215156,-110.0610016,2
18:42.4,173,-17,-205,268.7805797,100.4120741,177.5537484,-105.0928688,-157.0261063,2,192,3,-293,350.3169993,90.41337428,198.2572531,-73.89149844,-245.85,2,295,32,-251,388.6515149,101.8302489,303.1036266,-53.85149219,-196.8404938,2,310,-48,-153,349.0171916,97.78013334,318.6414984,-135.4215156,-110.0610016,2
18:42.8,170,-32,-200,264.4314656,85.12568427,177.5537484,-105.0928688,-157.0261063,2,192,7,-294,351.2107629,94.34516541,198.2572531,-73.89149844,-245.85,2,293,19,-249,384.9818178,90.16671934,303.1036266,-53.85149219,-196.8404938,2,310,-44,-152,348.0517203,100.9527048,318.6414984,-135.4215156,-110.0610016,2
18:43.2,172,-24,-199,264.1230774,91.48062768,177.5537484,-105.0928688,-157.0261063,2,193,3,-295,352.5379412,91.40931978,198.2572531,-73.89149844,-245.85,2,294,34,-258,392.6270495,107.4301908,303.1036266,-53.85149219,-196.8404938,2,312,-45,-151,349.5282535,99.47945307,318.6414984,-135.4215156,-110.0610016,2
18:43.6,173,-20,-203,267.4658857,96.82526449,177.5537484,-105.0928688,-157.0261063,2,192,8,-295,352.0695954,95.71360004,198.2572531,-73.89149844,-245.85,2,294,36,-254,390.1896975,106.8801938,303.1036266,-53.85149219,-196.8404938,2,311,-43,-153,349.2549212,102.1953357,318.6414984,-135.4215156,-110.0610016,2
18:44.1,171,-18,-201,264.5108693,97.7845731,177.5537484,-105.0928688,-157.0261063,2,192,14,-298,354.773167,102.389898,198.2572531,-73.89149844,-245.85,2,294,26,-246,384.2238931,94.21143177,303.1036266,-53.85149219,-196.8404938,2,311,-49,-152,349.6083523,96.36363656,318.6414984,-135.4215156,-110.0610016,2
18:44.5,173,-12,-206,269.2749524,105.2875164,177.5537484,-105.0928688,-157.0261063,2,192,1,-292,349.4695981,88.19133889,198.2572531,-73.89149844,-245.85,2,294,26,-248,385.5074578,95.27030965,303.1036266,-53.85149219,-196.8404938,2,311,-39,-155,349.6669844,106.6537142,318.6414984,-135.4215156,-110.0610016,2
18:44.9,172,-29,-199,264.6242619,87.0791396,177.5537484,-105.0928688,-157.0261063,2,191,11,-295,351.6063139,98.36135791,198.2572531,-73.89149844,-245.85,2,293,14,-249,384.7674622,86.17727284,303.1036266,-53.85149219,-196.8404938,2,311,-47,-149,348.0387909,96.9175037,318.6414984,-135.4215156,-110.0610016,2
18:45.3,173,-18,-203,267.3237737,98.5875414,177.5537484,-105.0928688,-157.0261063,2,192,-1,-294,351.1424212,87.5827966,198.2572531,-73.89149844,-245.85,2,295,38,-256,392.4347079,109.5546099,303.1036266,-53.85149219,-196.8404938,2,311,-53,-153,350.626582,93.24943069,318.6414984,-135.4215156,-110.0610016,2
18:45.8,173,-7,-209,271.401916,111.1046046,177.5537484,-105.0928688,-157.0261063,2,192,2,-293,350.3098628,89.56447539,198.2572531,-73.89149844,-245.85,2,294,29,-250,387.0103358,98.85938943,303.1036266,-53.85149219,-196.8404938,2,311,-52,-153,350.4768181,94.13447485,318.6414984,-135.4215156,-110.0610016,2
