time,Mag1_X,Mag1_Y,Mag1_Z,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
16:31.1,196,-103,-169,186.6684955,-87.61845769,-162.0308754,2,216,-76,-261,204.4682008,-64.12390747,-252.8892754,2,325,-58,-231,312.5465885,-46.89344189,-221.8768715,2,329,-143,-141,319.6054649,-128.570203,-132.1851378,2
16:32.0,198,-100,-170,186.6684955,-87.61845769,-162.0308754,2,213,-72,-262,204.4682008,-64.12390747,-252.8892754,2,321,-60,-234,312.5465885,-46.89344189,-221.8768715,2,332,-143,-140,319.6054649,-128.570203,-132.1851378,2
16:33.1,198,-100,-173,186.6684955,-87.61845769,-162.0308754,2,214,-73,-265,204.4682008,-64.12390747,-252.8892754,2,322,-60,-231,312.5465885,-46.89344189,-221.8768715,2,331,-141,-145,319.6054649,-128.570203,-132.1851378,2
16:34.0,197,-96,-173,186.6684955,-87.61845769,-162.0308754,2,213,-78,-263,204.4682008,-64.12390747,-252.8892754,2,325,-60,-233,312.5465885,-46.89344189,-221.8768715,2,330,-139,-143,319.6054649,-128.570203,-132.1851378,2
16:34.9,196,-100,-173,186.6684955,-87.61845769,-162.0308754,2,215,-76,-266,204.4682008,-64.12390747,-252.8892754,2,323,-56,-235,312.5465885,-46.89344189,-221.8768715,2,328,-142,-142,319.6054649,-128.570203,-132.1851378,2
16:35.9,198,-99,-173,186.6684955,-87.61845769,-162.0308754,2,214,-71,-263,204.4682008,-64.12390747,-252.8892754,2,321,-61,-234,312.5465885,-46.89344189,-221.8768715,2,332,-141,-142,319.6054649,-128.570203,-132.1851378,2
16:36.8,195,-96,-172,186.6684955,-87.61845769,-162.0308754,2,212,-77,-265,204.4682008,-64.12390747,-252.8892754,2,324,-58,-236,312.5465885,-46.89344189,-221.8768715,2,329,-137,-142,319.6054649,-128.570203,-132.1851378,2
16:37.7,196,-101,-173,186.6684955,-87.61845769,-162.0308754,2,215,-73,-265,204.4682008,-64.12390747,-252.8892754,2,322,-55,-234,312.5465885,-46.89344189,-221.8768715,2,329,-141,-146,319.6054649,-128.570203,-132.1851378,2
16:38.6,198,-97,-172,186.6684955,-87.61845769,-162.0308754,2,212,-72,-266,204.4682008,-64.12390747,-252.8892754,2,323,-61,-233,312.5465885,-46.89344189,-221.8768715,2,331,-138,-144,319.6054649,-128.570203,-132.1851378,2
16:39.5,194,-98,-174,186.6684955,-87.61845769,-162.0308754,2,215,-76,-264,204.4682008,-64.12390747,-252.8892754,2,325,-57,-236,312.5465885,-46.89344189,-221.8768715,2,329,-138,-144,319.6054649,-128.570203,-132.1851378,2
16:40.5,197,-101,-172,186.6684955,-87.61845769,-162.0308754,2,215,-72,-265,204.4682008,-64.12390747,-252.8892754,2,321,-57,-237,312.5465885,-46.89344189,-221.8768715,2,330,-142,-142,319.6054649,-128.570203,-132.1851378,2
16:41.4,196,-95,-174,186.6684955,-87.61845769,-162.0308754,2,212,-74,-263,204.4682008,-64.12390747,-252.8892754,2,323,-60,-235,312.5465885,-46.89344189,-221.8768715,2,329,-137,-145,319.6054649,-128.570203,-132.1851378,2
16:42.3,195,-101,-170,186.6684955,-87.61845769,-162.0308754,2,215,-76,-263,204.4682008,-64.12390747,-252.8892754,2,323,-55,-235,312.5465885,-46.89344189,-221.8768715,2,328,-141,-141,319.6054649,-128.570203,-132.1851378,2
16:43.2,198,-99,-172,186.6684955,-87.61845769,-162.0308754,2,212,-71,-266,204.4682008,-64.12390747,-252.8892754,2,322,-60,-233,312.5465885,-46.89344189,-221.8768715,2,331,-139,-141,319.6054649,-128.570203,-132.1851378,2
16:44.2,195,-96,-174,186.6684955,-87.61845769,-162.0308754,2,213,-77,-262,204.4682008,-64.12390747,-252.8892754,2,325,-56,-237,312.5465885,-46.89344189,-221.8768715,2,328,-136,-143,319.6054649,-128.570203,-132.1851378,2
16:45.1,197,-100,-172,186.6684955,-87.61845769,-162.0308754,2,215,-73,-265,204.4682008,-64.12390747,-252.8892754,2,321,-57,-235,312.5465885,-46.89344189,-221.8768715,2,330,-142,-142,319.6054649,-128.570203,-132.1851378,2
16:46.0,197,-97,-172,186.6684955,-87.61845769,-162.0308754,2,212,-75,-265,204.4682008,-64.12390747,-252.8892754,2,324,-60,-233,312.5465885,-46.89344189,-221.8768715,2,331,-137,-145,319.6054649,-128.570203,-132.1851378,2
16:46.9,195,-100,-171,186.6684955,-87.61845769,-162.0308754,2,216,-75,-265,204.4682008,-64.12390747,-252.8892754,2,324,-55,-234,312.5465885,-46.89344189,-221.8768715,2,329,-140,-143,319.6054649,-128.570203,-132.1851378,2
16:47.9,199,-98,-171,186.6684955,-87.61845769,-162.0308754,2,215,-72,-264,204.4682008,-64.12390747,-252.8892754,2,323,-62,-231,312.5465885,-46.89344189,-221.8768715,2,332,-141,-140,319.6054649,-128.570203,-132.1851378,2
16:48.8,196,-97,-172,186.6684955,-87.61845769,-162.0308754,2,216,-77,-262,204.4682008,-64.12390747,-252.8892754,2,326,-57,-234,312.5465885,-46.89344189,-221.8768715,2,330,-138,-141,319.6054649,-128.570203,-132.1851378,2
16:49.7,200,-102,-165,186.6684955,-87.61845769,-162.0308754,2,219,-74,-258,204.4682008,-64.12390747,-252.8892754,2,324,-58,-230,312.5465885,-46.89344189,-221.8768715,2,333,-141,-139,319.6054649,-128.570203,-132.1851378,2
16:50.6,201,-98,-164,186.6684955,-87.61845769,-162.0308754,2,216,-76,-257,204.4682008,-64.12390747,-252.8892754,2,328,-60,-228,312.5465885,-46.89344189,-221.8768715,2,335,-138,-135,319.6054649,-128.570203,-132.1851378,2
16:51.5,199,-102,-163,186.6684955,-87.61845769,-162.0308754,2,219,-76,-253,204.4682008,-64.12390747,-252.8892754,2,328,-57,-222,312.5465885,-46.89344189,-221.8768715,2,332,-143,-132,319.6054649,-128.570203,-132.1851378,2
16:52.5,201,-99,-160,186.6684955,-87.61845769,-162.0308754,2,216,-74,-250,204.4682008,-64.12390747,-252.8892754,2,325,-63,-224,312.5465885,-46.89344189,-221.8768715,2,335,-143,-130,319.6054649,-128.570203,-132.1851378,2
16:53.4,198,-100,-155,186.6684955,-87.61845769,-162.0308754,2,217,-80,-247,204.4682008,-64.12390747,-252.8892754,2,326,-58,-217,312.5465885,-46.89344189,-221.8768715,2,330,-141,-124,319.6054649,-128.570203,-132.1851378,2
16:54.3,197,-103,-149,186.6684955,-87.61845769,-162.0308754,2,213,-75,-243,204.4682008,-64.12390747,-252.8892754,2,319,-62,-209,312.5465885,-46.89344189,-221.8768715,2,327,-145,-121,319.6054649,-128.570203,-132.1851378,2
16:55.2,192,-103,-148,186.6684955,-87.61845769,-162.0308754,2,213,-80,-237,204.4682008,-64.12390747,-252.8892754,2,319,-58,-209,312.5465885,-46.89344189,-221.8768715,2,324,-146,-115,319.6054649,-128.570203,-132.1851378,2
16:56.2,186,-101,-146,186.6684955,-87.61845769,-162.0308754,2,198,-78,-235,204.4682008,-64.12390747,-252.8892754,2,303,-66,-204,312.5465885,-46.89344189,-221.8768715,2,307,-146,-114,319.6054649,-128.570203,-132.1851378,2
16:57.1,136,-116,-192,186.6684955,-87.61845769,-162.0308754,1,156,-96,-303,204.4682008,-64.12390747,-252.8892754,1,269,-78,-289,312.5465885,-46.89344189,-221.8768715,1,273,-156,-212,319.6054649,-128.570203,-132.1851378,1
17:00.0,200,-111,-215,186.6684955,-87.61845769,-162.0308754,1,211,-89,-309,204.4682008,-64.12390747,-252.8892754,1,316,-76,-271,312.5465885,-46.89344189,-221.8768715,1,319,-153,-174,319.6054649,-128.570203,-132.1851378,1
