time,Mag1_X,Mag1_Y,Mag1_Z,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
30:12.0,189,-86,-159,190.3114204,-91.88292701,-163.3833452,0,204,-62,-253,208.8508514,-68.75833133,-256.1144081,0,313,-49,-219,315.0222348,-49.19458768,-224.2495605,0,321,-127,-134,324.358135,-134.3409463,-137.322581,0
30:14.9,187,-85,-159,190.1458494,-91.53878066,-163.1641779,0,204,-64,-250,208.6083088,-68.52041476,-255.8086877,0,314,-47,-222,314.971123,-49.08485829,-224.1370825,0,320,-125,-131,324.1402282,-133.873899,-137.006452,0
30:17.8,186,-89,-161,189.9385569,-91.41184163,-163.055969,0,207,-66,-251,208.5278933,-68.39439402,-255.5682533,0,314,-46,-220,314.9225669,-48.93061538,-223.9302284,0,318,-127,-132,323.8332168,-133.530204,-136.7561294,0
30:20.7,189,-90,-160,189.891629,-91.34124955,-162.9031706,0,206,-63,-253,208.4014987,-68.12467432,-255.4398407,0,310,-45,-226,314.6764386,-48.73408461,-224.033717,0,320,-130,-132,323.641556,-133.3536938,-136.5183229,0
30:23.7,189,-84,-162,189.8470476,-90.97418707,-162.858012,0,204,-63,-253,208.1814237,-67.86844061,-255.3178486,0,314,-50,-221,314.6426166,-48.79738038,-223.8820311,0,321,-127,-132,323.5094782,-133.0360092,-136.2924068,0
30:26.6,186,-89,-164,189.6546952,-90.87547772,-162.9151114,0,206,-64,-250,208.0723526,-67.67501858,-255.0519562,0,313,-43,-220,314.5604858,-48.50751136,-223.6879296,0,319,-129,-131,323.2840043,-132.8342087,-136.0277864,0
30:29.5,189,-85,-158,189.6219605,-90.58170383,-162.6693559,0,204,-62,-255,207.8687349,-67.39126765,-255.0493584,0,312,-49,-222,314.4324615,-48.53213579,-223.6035331,0,321,-127,-135,323.169804,-132.5424983,-135.9763971,0
30:32.4,188,-87,-162,189.5408624,-90.40261864,-162.6358881,0,207,-64,-249,207.8252982,-67.22170426,-254.7468905,0,312,-45,-220,314.3108384,-48.355529,-223.4233564,0,319,-129,-131,322.9613138,-132.3653733,-135.7275772,0
30:35.4,187,-84,-161,189.4138193,-90.08248771,-162.5540937,0,206,-66,-249,207.7340333,-67.16061905,-254.459546,0,314,-46,-221,314.2952965,-48.23775255,-223.3021886,0,319,-125,-134,322.7632481,-131.9971047,-135.6411984,0
30:38.3,190,-88,-156,189.4431283,-89.97836332,-162.226389,0,204,-62,-251,207.5473316,-66.9025881,-254.2865687,0,311,-49,-223,314.1305317,-48.27586492,-223.2870792,0,321,-129,-131,322.6750857,-131.8472494,-135.4091385,0
30:41.2,187,-89,-160,189.3209719,-89.92944516,-162.1150695,0,207,-64,-249,207.519965,-66.75745869,-254.0222402,0,313,-45,-224,314.0740051,-48.11207168,-223.3227252,0,319,-130,-131,322.4913315,-131.754887,-135.1886815,0
30:44.1,188,-84,-163,189.2549233,-89.6329729,-162.1593161,0,203,-63,-251,207.2939668,-66.56958576,-253.8711282,0,314,-49,-220,314.0703048,-48.15646809,-223.156589,0,320,-125,-131,322.3667649,-131.4171426,-134.9792475,0
30:47.1,189,-89,-160,189.2421772,-89.60132425,-162.0513503,0,206,-63,-251,207.2292684,-66.39110647,-253.7275718,0,311,-46,-224,313.9167896,-48.04864469,-223.1987595,0,320,-130,-132,322.2484266,-131.3462855,-134.8302851,0
