08/21 20:42:55.150740,215,274,-270,165,22,-313,278,86,-220,-1,-1,3
08/21 20:42:55.582165,215,272,-269,167,23,-310,277,86,-219,0,-2,-3
08/21 20:42:56.013534,213,273,-273,167,23,-311,278,86,-221,0,-1,2
08/21 20:42:56.444922,212,273,-275,168,24,-311,279,85,-218,-1,0,-4
08/21 20:42:56.876382,211,273,-275,166,24,-315,281,86,-215,-2,0,5
08/21 20:42:57.307879,211,272,-277,165,23,-319,283,86,-215,0,-1,-1
08/21 20:42:57.739212,211,272,-274,164,23,-319,283,87,-215,-1,0,-3
08/21 20:42:58.170660,213,272,-269,163,23,-323,282,86,-218,-2,-3,2
08/21 20:42:58.602064,214,273,-268,163,23,-318,280,86,-219,-1,-2,0
08/21 20:42:59.033485,215,274,-267,162,22,-317,279,86,-220,-1,0,-1
08/21 20:42:59.465255,216,274,-269,164,23,-314,278,86,-223,0,-2,-1
08/21 20:42:59.897018,215,274,-269,165,23,-312,277,85,-225,-1,-1,-3
08/21 20:43:00.328988,215,273,-271,166,22,-314,278,86,-224,0,0,1
08/21 20:43:00.760869,214,273,-275,168,23,-309,278,85,-221,-1,0,1
08/21 20:43:01.192596,213,272,-273,167,23,-313,278,84,-218,0,0,-2
08/21 20:43:01.624037,211,274,-274,168,23,-310,279,86,-217,-1,-1,2
08/21 20:43:02.055541,210,274,-277,167,23,-316,280,86,-215,0,0,-1
08/21 20:43:02.486838,210,273,-277,165,23,-315,282,86,-213,-1,1,-2
08/21 20:43:02.918105,211,273,-274,164,24,-317,283,86,-212,-1,0,-2
08/21 20:43:03.349724,213,272,-269,163,23,-319,283,85,-217,-1,-1,2
08/21 20:43:03.781152,214,273,-268,163,23,-319,281,87,-220,-1,-2,1
08/21 20:43:04.212536,215,273,-268,163,24,-318,281,87,-219,-2,-1,2
08/21 20:43:04.648586,212,271,-270,162,23,-321,283,85,-216,-1,-1,-3
08/21 20:43:05.079954,213,272,-269,162,22,-318,282,86,-217,-1,0,-5
08/21 20:43:05.511311,215,272,-267,162,22,-320,280,87,-219,-1,1,-2
08/21 20:43:05.943078,216,273,-269,163,22,-314,279,85,-219,-1,-1,-2
08/21 20:43:06.374524,216,273,-267,164,21,-311,278,86,-225,0,-1,-1
08/21 20:43:06.806033,215,274,-270,166,23,-313,277,85,-223,-1,0,-3
08/21 20:43:07.237880,214,273,-274,166,23,-311,278,84,-221,1,0,5
08/21 20:43:07.669322,214,272,-276,167,22,-311,279,86,-221,0,1,1
08/21 20:43:08.100899,212,273,-278,168,22,-312,279,85,-216,-1,-1,-1
08/21 20:43:08.532376,212,273,-276,168,23,-311,280,85,-217,-1,-1,-3
08/21 20:43:08.963851,211,273,-276,167,23,-314,282,85,-213,-1,-2,1
08/21 20:43:09.395322,212,273,-275,166,24,-317,282,85,-215,-1,0,1
08/21 20:43:09.826830,211,272,-272,165,23,-316,283,86,-212,0,1,2
08/21 20:43:10.258250,212,273,-274,164,22,-320,284,86,-213,-1,0,-3
08/21 20:43:10.689700,213,273,-270,163,22,-319,283,86,-215,-1,0,-2
08/21 20:43:11.121123,215,273,-268,162,22,-319,281,87,-218,0,-1,-1
08/21 20:43:11.552518,215,272,-266,163,22,-315,280,87,-223,-1,1,-1
08/21 20:43:11.984052,216,273,-268,164,23,-316,280,87,-222,-1,-2,2
08/21 20:43:12.415769,216,273,-269,165,22,-314,278,86,-223,-1,0,1
08/21 20:43:12.847112,215,273,-271,165,23,-313,278,85,-221,-1,0,-1
08/21 20:43:13.278535,215,273,-274,167,22,-308,278,85,-220,-1,0,-3
08/21 20:43:13.709840,213,274,-276,168,23,-312,278,85,-219,-1,0,1
08/21 20:43:14.141389,211,274,-277,167,22,-315,279,84,-217,-1,-2,1
08/21 20:43:14.573232,210,271,-276,167,23,-313,282,86,-214,-1,0,-3
08/21 20:43:15.004731,211,272,-274,166,23,-316,283,86,-213,0,0,0
08/21 20:43:15.436436,211,273,-275,164,23,-319,282,86,-215,-1,-1,-4
08/21 20:43:15.868073,212,273,-268,164,23,-319,283,87,-215,-1,-1,4
08/21 20:43:16.299480,213,273,-269,162,22,-321,282,87,-217,0,0,2
08/21 20:43:16.730809,214,273,-268,162,22,-320,281,86,-217,-1,0,2
08/21 20:43:17.162231,216,272,-267,163,20,-316,279,85,-223,-1,1,-4
08/21 20:43:17.593916,216,274,-268,164,21,-317,278,87,-223,0,-3,-2
08/21 20:43:18.025250,215,274,-273,165,22,-313,278,86,-221,0,-4,1
08/21 20:43:18.456627,215,274,-272,167,23,-310,277,86,-222,-1,-1,0
08/21 20:43:18.887924,213,272,-273,167,22,-312,280,83,-215,-1,-1,0
08/21 20:43:19.319225,211,273,-277,167,23,-315,281,86,-214,-1,0,-1
08/21 20:43:19.750887,210,272,-271,166,23,-317,282,85,-216,-1,0,1
08/21 20:43:20.182701,211,272,-273,164,23,-319,283,86,-214,-2,-2,-4
08/21 20:43:20.614586,211,271,-269,163,22,-321,283,87,-215,-1,0,-2
08/21 20:43:21.046280,212,272,-270,162,22,-319,282,86,-219,0,-2,0
08/21 20:43:21.478087,214,273,-267,163,22,-319,281,86,-219,-1,-2,-2
08/21 20:43:21.910054,215,273,-265,162,22,-319,279,85,-222,-1,-1,1
