time,Mag1_X,Mag1_Y,Mag1_Z,Mag2_X,Mag2_Y,Mag2_Z,Mag3_X,Mag3_Y,Mag3_Z,Mag4_X,Mag4_Y,Mag4_Z
24:50.4,52,-199,-143,185,-23,-248,351,6,-244,457,-290,-173
24:50.8,44,-198,-148,187,-22,-249,358,5,-234,451,-291,-174
24:51.2,47,-196,-151,191,-23,-243,351,7,-242,452,-290,-184
24:51.7,51,-197,-140,184,-23,-252,354,7,-246,455,-287,-173
24:52.1,44,-199,-150,189,-23,-250,354,7,-239,450,-289,-181
24:52.5,51,-198,-145,186,-22,-247,349,5,-246,456,-290,-173
24:52.9,46,-198,-141,185,-22,-252,356,7,-238,454,-289,-172
24:53.4,51,-198,-140,187,-23,-245,349,6,-245,456,-289,-175
24:53.8,46,-198,-145,184,-24,-250,356,8,-241,452,-289,-173
24:54.2,44,-197,-151,188,-23,-245,353,5,-237,450,-291,-180
24:54.6,49,-197,-145,186,-23,-248,349,8,-248,455,-289,-174
24:55.0,45,-200,-143,184,-22,-253,355,7,-241,452,-290,-173
24:55.5,44,-199,-151,191,-24,-244,352,7,-238,449,-290,-179
24:55.9,50,-197,-144,186,-25,-244,348,7,-246,454,-290,-176
24:56.3,45,-199,-141,184,-22,-252,355,6,-237,452,-290,-169
24:56.7,43,-199,-152,189,-23,-245,352,7,-239,448,-291,-178
24:57.1,48,-197,-147,186,-23,-246,348,7,-247,454,-290,-174
24:57.6,45,-199,-142,181,-24,-249,353,7,-240,451,-289,-170
24:58.0,41,-199,-149,187,-23,-247,349,6,-236,447,-290,-180
24:58.4,46,-197,-142,181,-25,-248,348,6,-245,452,-289,-173
24:58.8,39,-199,-146,182,-24,-252,353,7,-240,447,-291,-173
24:59.3,42,-196,-152,187,-23,-246,345,5,-242,447,-289,-180
24:59.7,46,-198,-140,182,-25,-248,345,6,-247,451,-288,-174
25:00.1,40,-198,-143,180,-24,-252,349,7,-242,446,-290,-174
25:00.5,38,-198,-151,184,-23,-248,345,6,-239,442,-289,-179
25:00.9,41,-198,-145,179,-24,-244,339,8,-248,446,-288,-177
25:01.4,37,-198,-142,172,-24,-253,341,8,-245,440,-288,-174
25:01.8,27,-198,-154,171,-23,-252,331,6,-243,423,-287,-188
25:02.2,19,-196,-154,153,-20,-253,307,8,-255,405,-284,-197
25:02.6,-11,-196,-166,115,-20,-288,272,9,-303,372,-286,-255
25:03.1,-33,-209,-247,132,-30,-365,301,0,-332,370,-280,-272
25:03.5,-64,-183,-279,72,8,-439,270,-1,-522,448,-308,-483
25:03.9,103,-281,-426,248,-136,-418,378,-124,-424,505,-410,-341
25:04.3,111,-309,-288,253,-105,-376,424,-73,-335,520,-362,-251
25:04.7,101,-271,-210,240,-91,-313,409,-58,-293,502,-347,-222
25:05.2,100,-256,-179,235,-81,-274,390,-58,-255,480,-365,-193
25:05.6,72,-277,-151,206,-95,-266,370,-73,-268,466,-375,-209
25:06.0,56,-287,-182,204,-109,-291,372,-83,-285,467,-378,-231
