time,Mag1_X,Mag1_Y,Mag1_Z,Mag2_X,Mag2_Y,Mag2_Z,Mag3_X,Mag3_Y,Mag3_Z,Mag4_X,Mag4_Y,Mag4_Z
15:25.7,42,-81,-194,174,94,-293,344,124,-300,452,-176,-213
15:26.2,36,-81,-193,174,94,-301,350,124,-296,447,-175,-211
15:26.6,35,-80,-201,180,95,-294,347,125,-292,444,-175,-219
15:27.0,40,-80,-198,177,94,-290,343,124,-297,450,-174,-221
15:27.4,40,-81,-192,173,94,-295,346,124,-300,450,-175,-211
15:27.9,35,-81,-194,175,94,-301,350,126,-294,448,-166,-219
15:28.3,36,-81,-202,181,94,-294,345,124,-292,446,-176,-218
15:28.7,42,-79,-198,176,94,-289,343,124,-298,452,-176,-216
15:29.1,37,-80,-189,173,96,-298,349,125,-298,450,-177,-209
15:29.5,34,-82,-200,179,95,-296,348,124,-292,444,-176,-214
15:30.0,40,-80,-198,177,93,-289,343,124,-296,449,-175,-219
15:30.4,41,-80,-193,173,94,-295,346,124,-300,451,-176,-208
15:30.8,35,-82,-199,174,95,-301,350,126,-291,444,-175,-209
15:31.2,31,-72,-195,176,102,-289,342,130,-285,442,-169,-210
15:31.6,38,-70,-193,172,105,-285,340,131,-292,448,-166,-208
15:32.1,35,-75,-186,171,98,-291,347,130,-292,447,-169,-206
15:32.5,32,-75,-194,175,100,-291,347,130,-283,443,-172,-210
15:32.9,35,-75,-194,177,99,-285,341,129,-286,444,-171,-213
15:33.3,38,-74,-188,171,99,-287,342,130,-292,450,-170,-205
15:33.8,33,-74,-186,170,102,-294,347,129,-288,444,-171,-200
