,Backward,Brand,Category,Class,Class_Target,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
25,0.0,toyota,tercel,0.0,0,1,0.0,12:24.2,9.362691920596333,0.6000000000000227,-6.899999999999977,6.300000000000012,458.4,-291.1,-172.3,571.8749863387976,459,-298,-166
26,0.0,toyota,tercel,0.0,0,1,0.0,12:24.6,11.5870617500728,3.6000000000000227,-5.899999999999977,9.300000000000011,458.4,-291.1,-172.3,572.9066241544081,462,-297,-163
27,0.0,toyota,tercel,0.0,0,1,0.0,12:25.0,11.758401251870923,-2.3999999999999773,-8.899999999999975,7.300000000000012,458.4,-291.1,-172.3,570.2289014071455,456,-300,-165
28,0.0,toyota,tercel,0.0,0,1,0.0,12:25.4,8.201219421525039,-1.3999999999999773,-7.899999999999977,-1.6999999999999886,458.4,-291.1,-172.3,573.1718764908131,457,-299,-174
29,0.0,toyota,tercel,0.0,0,1,0.0,12:25.9,4.226109321823117,3.6000000000000227,2.1000000000000227,-0.6999999999999886,458.4,-291.1,-172.3,571.7464472998498,462,-289,-173
30,0.0,toyota,tercel,0.0,0,1,0.0,12:26.3,11.595688854052607,0.6000000000000227,-6.899999999999977,9.300000000000011,458.4,-291.1,-172.3,571.0113834241837,459,-298,-163
31,0.0,toyota,tercel,0.0,0,1,0.0,12:26.7,10.102474944289623,-3.3999999999999773,-7.899999999999977,5.300000000000012,458.4,-291.1,-172.3,569.4866109049448,455,-299,-167
32,0.0,toyota,tercel,0.0,0,1,0.0,12:27.1,7.658981655546628,-0.3999999999999773,-6.899999999999977,3.300000000000012,458.4,-291.1,-172.3,571.951921056307,458,-298,-169
33,0.0,toyota,tercel,0.0,0,1,0.0,12:27.6,11.378049041905207,3.6000000000000227,-6.899999999999977,8.300000000000011,458.4,-291.1,-172.3,573.7107285034855,462,-298,-164
34,0.0,toyota,tercel,0.0,0,1,0.0,12:28.0,10.519505691808908,-0.3999999999999773,-4.899999999999976,9.300000000000011,458.4,-291.1,-172.3,569.1651781337295,458,-296,-163
35,0.0,toyota,tercel,0.0,0,1,0.0,12:28.4,7.658981655546619,-2.3999999999999773,-6.899999999999977,2.300000000000012,458.4,-291.1,-172.3,570.6487536129382,456,-298,-170
36,0.0,toyota,tercel,0.0,0,1,0.0,12:28.8,7.658981655546628,-0.3999999999999773,-6.899999999999977,3.300000000000012,458.4,-291.1,-172.3,571.951921056307,458,-298,-169
37,0.0,toyota,tercel,0.0,0,1,0.0,12:29.2,11.749893616539682,2.6000000000000227,-7.899999999999977,8.300000000000011,458.4,-291.1,-172.3,573.4265428108469,461,-299,-164
38,0.0,toyota,tercel,0.0,0,1,0.0,12:29.7,10.847119433287334,-1.3999999999999773,-7.899999999999977,7.300000000000012,458.4,-291.1,-172.3,570.5041629997103,457,-299,-165
39,0.0,toyota,tercel,0.0,0,1,0.0,12:30.1,8.629020801921817,-3.3999999999999773,-7.899999999999977,-0.6999999999999886,458.4,-291.1,-172.3,571.274890048565,455,-299,-173
40,0.0,toyota,tercel,0.0,0,1,0.0,12:30.5,9.8620484687513,2.6000000000000227,-7.899999999999977,5.300000000000012,458.4,-291.1,-172.3,574.2917377082836,461,-299,-167
41,0.0,toyota,tercel,0.0,0,1,0.0,12:30.9,14.030680667736688,2.6000000000000227,-7.899999999999977,11.300000000000011,458.4,-291.1,-172.3,572.5757591795168,461,-299,-161
42,0.0,toyota,tercel,0.0,0,1,0.0,12:31.3,9.615612304996473,-3.3999999999999773,-7.899999999999977,4.300000000000011,458.4,-291.1,-172.3,569.7806595524281,455,-299,-168
