,Backward,Brand,Category,Class,Class_Target,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag3_CarLen,Mag3_CarX,Mag3_CarY,Mag3_CarZ,Mag3_EnvX,Mag3_EnvY,Mag3_EnvZ,Mag3_Len,Mag3_X,Mag3_Y,Mag3_Z,Mag4_CarLen,Mag4_CarX,Mag4_CarY,Mag4_CarZ,Mag4_EnvX,Mag4_EnvY,Mag4_EnvZ,Mag4_Len,Mag4_X,Mag4_Y,Mag4_Z,Sideway,time
10,1,toyota,clotplus,0.0,0,0.0,5.20096144957834,3.3999999999999986,-1.8000000000000114,3.5,49.6,-198.2,-142.5,249.25890154616343,53,-200,-139,2.7294688127912248,-2.6999999999999886,-0.3999999999999986,0.0,189.7,-23.6,-243.0,307.5613759885984,187,-24,-243,3.926830783214381,-0.6999999999999886,0.7000000000000002,-3.8000000000000114,354.7,6.3,-238.2,428.86944400365013,354,7,-242,3.694590640382244,2.6000000000000227,1.6999999999999886,-2.0,455.4,-294.7,-171.0,570.5628799702974,458,-293,-173,0.0,21:31.7
11,1,toyota,clotplus,0.0,0,0.0,3.2634337744161543,-1.6000000000000014,-2.8000000000000114,-0.5,49.6,-198.2,-142.5,251.3045960582496,48,-201,-143,2.539685019840055,-0.6999999999999886,-1.3999999999999986,-2.0,189.7,-23.6,-243.0,310.43678905696726,189,-25,-245,6.754257916307311,4.300000000000011,-0.2999999999999998,5.199999999999989,354.7,6.3,-238.2,428.0257001629692,359,6,-233,4.652956049652746,0.6000000000000227,-2.3000000000000114,4.0,455.4,-294.7,-171.0,569.2398440025083,456,-297,-167,0.0,21:32.2
12,1,toyota,clotplus,0.0,0,0.0,5.162363799656124,2.3999999999999986,-0.8000000000000114,4.5,49.6,-198.2,-142.5,247.6873028639135,52,-199,-138,3.879432948254154,-3.6999999999999886,0.6000000000000014,-1.0,189.7,-23.6,-243.0,307.67027805753355,186,-23,-244,3.1654383582688976,1.3000000000000114,0.7000000000000002,-2.8000000000000114,354.7,6.3,-238.2,429.9604632986619,356,7,-241,9.769851585361993,3.6000000000000227,-4.300000000000011,8.0,455.4,-294.7,-171.0,571.5339010067556,459,-299,-163,0.0,21:32.6
13,1,toyota,clotplus,0.0,0,0.0,4.031128874149281,-2.6000000000000014,-1.8000000000000114,-2.5,49.6,-198.2,-142.5,251.46371507635052,47,-200,-145,0.921954445729281,-0.6999999999999886,0.6000000000000014,0.0,189.7,-23.6,-243.0,308.7053611455428,189,-23,-243,5.497272050753899,3.3000000000000114,-1.2999999999999998,4.199999999999989,354.7,6.3,-238.2,427.7207032632393,358,5,-234,7.762087348130011,-2.3999999999999773,-4.300000000000011,6.0,455.4,-294.7,-171.0,567.3050325882894,453,-299,-165,0.0,21:33.0
14,1,toyota,clotplus,0.0,0,0.0,4.609772228646446,-0.6000000000000014,-0.8000000000000114,-4.5,49.6,-198.2,-142.5,252.21221223406292,49,-199,-147,4.7592016137163276,4.300000000000011,-0.3999999999999986,2.0,189.7,-23.6,-243.0,310.3111341863195,194,-24,-241,2.572936066053722,-1.6999999999999886,0.7000000000000002,-1.8000000000000114,354.7,6.3,-238.2,426.91685373149653,353,7,-240,6.682065548915234,-2.3999999999999773,1.6999999999999886,-6.0,455.4,-294.7,-171.0,567.7913349109865,453,-293,-177,0.0,21:33.4
15,1,toyota,clotplus,0.0,0,0.0,4.295346318982907,3.3999999999999986,-0.8000000000000114,2.5,49.6,-198.2,-142.5,249.0180716333656,53,-199,-140,3.4999999999999947,-1.6999999999999886,0.6000000000000014,3.0,189.7,-23.6,-243.0,305.7335441197122,188,-23,-240,8.295782060782459,-4.699999999999989,0.7000000000000002,-6.800000000000011,354.7,6.3,-238.2,427.28678893689187,350,7,-245,2.8017851452244025,2.6000000000000227,-0.30000000000001137,1.0,455.4,-294.7,-171.0,570.6916855886373,458,-295,-170,0.0,21:33.8
16,1,toyota,clotplus,0.0,0,0.0,2.5396850198400576,0.3999999999999986,0.19999999999998863,2.5,49.6,-198.2,-142.5,247.59644585494357,50,-198,-140,6.20080639917099,-4.699999999999989,0.6000000000000014,-4.0,189.7,-23.6,-243.0,309.4559742515888,185,-23,-247,2.6870057685088855,2.3000000000000114,0.7000000000000002,1.1999999999999886,354.7,6.3,-238.2,428.5638808859188,357,7,-237,10.210288928331073,1.6000000000000227,-1.3000000000000114,10.0,455.4,-294.7,-171.0,567.7904543051072,457,-296,-161,0.0,21:34.3
17,1,toyota,clotplus,0.0,0,0.0,5.084289527554468,-3.6000000000000014,-0.8000000000000114,-3.5,49.6,-198.2,-142.5,251.06373692749816,46,-199,-146,3.9812058474788787,0.30000000000001137,2.6000000000000014,-3.0,189.7,-23.6,-243.0,311.5397245938309,190,-21,-246,1.8493242008906996,1.3000000000000114,-1.2999999999999998,0.19999999999998863,354.7,6.3,-238.2,428.258099748271,356,5,-238,3.556683848755727,-2.3999999999999773,1.6999999999999886,2.0,455.4,-294.7,-171.0,565.3485650463791,453,-293,-169,0.0,21:34.7
18,1,toyota,clotplus,0.0,0,0.0,5.518151864528558,0.3999999999999986,0.19999999999998863,-5.5,49.6,-198.2,-142.5,252.20626479134097,50,-198,-148,3.1064449134018224,2.3000000000000114,0.6000000000000014,2.0,189.7,-23.6,-243.0,308.9886729315494,192,-23,-241,2.796426290821901,-2.6999999999999886,0.7000000000000002,0.19999999999998863,354.7,6.3,-238.2,424.9670575468174,352,7,-238,2.906888370749713,-2.3999999999999773,-1.3000000000000114,-1.0,455.4,-294.7,-171.0,567.8107078948054,453,-296,-172,0.0,21:35.1
19,1,toyota,clotplus,0.0,0,0.0,6.469157595854346,3.3999999999999986,0.19999999999998863,5.5,49.6,-198.2,-142.5,246.54005759713775,53,-198,-137,3.721558813185671,-2.6999999999999886,1.6000000000000014,2.0,189.7,-23.6,-243.0,305.83328792006927,187,-22,-241,6.9152006478481916,-3.6999999999999886,0.7000000000000002,-5.800000000000011,354.7,6.3,-238.2,427.53479390571243,351,7,-244,7.500000000000006,2.6000000000000227,0.6999999999999886,7.0,455.4,-294.7,-171.0,568.4153411019093,458,-294,-164,0.0,21:35.5
