,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag3_CarLen,Mag3_CarX,Mag3_CarY,Mag3_CarZ,Mag3_EnvX,Mag3_EnvY,Mag3_EnvZ,Mag3_Len,Mag3_X,Mag3_Y,Mag3_Z,Mag4_CarLen,Mag4_CarX,Mag4_CarY,Mag4_CarZ,Mag4_EnvX,Mag4_EnvY,Mag4_EnvZ,Mag4_Len,Mag4_X,Mag4_Y,Mag4_Z,Sideway,time
10,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,5.623610939600996,2.0,-2.25,4.75,189.0,-88.75,-162.75,264.05681206891825,191,-91,-158,3.400367627183861,2.5,1.5,1.75,207.5,-63.5,-254.75,334.59378356448883,210,-62,-253,1.7853571071357126,-0.25,-0.25,1.75,315.25,-45.75,-224.75,388.67724399558045,315,-46,-223,4.847679857416329,3.0,-3.5,-1.5,322.0,-129.5,-132.5,375.8590161217368,325,-133,-134,0.0,27:37.0
11,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,4.430011286667337,3.0,2.75,1.75,189.0,-88.75,-162.75,264.9169681239765,192,-86,-161,2.358495283014151,0.5,-0.5,-2.25,207.5,-63.5,-254.75,336.7625276066207,208,-64,-257,5.11737237261468,2.75,-4.25,0.75,315.25,-45.75,-224.75,392.17343102255154,318,-50,-224,4.949747468305833,4.0,2.5,-1.5,322.0,-129.5,-132.5,374.6478346394117,326,-127,-134,0.0,27:37.4
12,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,3.181980515339464,1.0,-1.25,2.75,189.0,-88.75,-162.75,264.1968962724581,190,-90,-160,3.010398644698074,1.5,-2.5,0.75,207.5,-63.5,-254.75,335.4891950570092,209,-66,-254,2.8613807855648994,2.75,-0.25,0.75,315.25,-45.75,-224.75,391.68354573558486,318,-46,-224,1.8708286933869707,1.0,-0.5,-1.5,322.0,-129.5,-132.5,373.0750594719513,323,-130,-134,0.0,27:38.4
13,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,3.824264635194589,3.0,0.75,-2.25,189.0,-88.75,-162.75,268.01679051880313,192,-88,-165,0.75,-0.5,0.5,-0.25,207.5,-63.5,-254.75,334.42936473940205,207,-63,-255,4.322904116447646,-0.25,-4.25,0.75,315.25,-45.75,-224.75,389.7447882910046,315,-50,-224,4.301162633521313,4.0,-0.5,-1.5,322.0,-129.5,-132.5,375.6753917945651,326,-130,-134,0.0,27:39.3
14,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,3.020761493398643,-1.0,2.75,0.75,189.0,-88.75,-162.75,262.6480534860291,188,-86,-162,2.1360009363293826,1.5,-1.5,-0.25,207.5,-63.5,-254.75,336.05207929724224,209,-65,-255,3.766629793329841,2.75,-2.25,-1.25,315.25,-45.75,-224.75,393.06996832625106,318,-48,-226,4.301162633521313,0.0,2.5,-3.5,322.0,-129.5,-132.5,371.89917988616213,322,-127,-136,0.0,27:40.2
15,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,3.952847075210474,3.0,-2.25,-1.25,189.0,-88.75,-162.75,268.40454541605664,192,-91,-164,2.462214450449026,1.5,1.5,-1.25,207.5,-63.5,-254.75,336.2454460658166,209,-62,-256,1.299038105676658,-0.25,-1.25,-0.25,315.25,-45.75,-224.75,389.94743235467007,315,-47,-225,3.6742346141747673,1.0,-2.5,-2.5,322.0,-129.5,-132.5,374.1363387857426,323,-132,-135,0.0,27:41.1
16,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.05,-88.5625,-162.7625,207.475,-63.625,-254.6625,315.3875,-45.9125,-224.6125,322.1,-129.275,-132.625,1,3.694632931699709,0.9499999999999886,3.5625,-0.23750000000001137,189.05,-88.5625,-162.7625,264.3747340424194,190,-85,-163,2.937712758252579,-0.4749999999999943,-2.375,1.6624999999999943,207.475,-63.625,-254.6625,333.48763095503256,207,-66,-253,4.814869546519419,2.6125000000000114,-3.0874999999999986,2.6125000000000114,315.3875,-45.9125,-224.6125,390.9079175458077,318,-49,-222,5.246546483163946,1.8999999999999773,4.275000000000006,-2.375,322.1,-129.275,-132.625,372.5936123982804,324,-125,-135,0.0,27:42.1
17,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0975,-88.534375,-162.624375,207.45125,-63.49375,-254.429375,315.218125,-46.066875,-224.481875,322.095,-129.31125,-132.59375,1,2.826200104601571,0.9025000000000034,0.5343749999999972,2.6243749999999864,189.0975,-88.534375,-162.624375,263.52229507197296,190,-88,-160,5.10311458970156,-0.4512499999999875,2.4937499999999986,4.429374999999993,207.45125,-63.49375,-254.429375,330.25747531282315,207,-61,-250,5.011911241919085,-3.2181249999999864,-2.933124999999997,2.4818750000000023,315.218125,-46.066875,-224.481875,386.04274374737315,312,-49,-222,0.9142978863587095,-0.09500000000002728,-0.6887499999999989,0.59375,322.095,-129.31125,-132.59375,371.4942799021272,322,-130,-132,0.0,27:45.0
18,0.0,nisson,0,0,0,0,bluebird,0.0,0,188.992625,-88.40765625,-162.54315630000002,207.4286875,-63.6190625,-254.20790630000002,315.2072188,-46.11353125,-224.45778130000002,321.94025,-129.0956875,-132.5140625,1,3.4854977227103223,-1.9926250000000039,2.4076562500000023,1.543156300000021,188.992625,-88.40765625,-162.54315630000002,261.3159007791145,187,-86,-161,4.8537729428911645,-0.4286874999999952,-2.3809375000000017,4.207906300000019,207.4286875,-63.6190625,-254.20790630000002,331.2174512310606,207,-66,-250,1.0189848842989375,-0.20721880000002102,-0.8864687499999988,0.45778130000002193,315.2072188,-46.11353125,-224.45778130000002,389.3712881042977,315,-47,-224,5.2642294226280075,-2.940249999999992,4.095687499999997,1.5140624999999943,321.94025,-129.0956875,-132.5140625,366.8064884922294,319,-125,-131,0.0,27:47.9
19,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0429938,-88.38727344,-162.36599840000002,207.3072531,-63.53810938,-254.04751090000002,315.0968578,-46.35785469,-224.33489219999998,321.9432375,-128.9909031,-132.5383594,1,3.520765089149031,0.957006199999995,0.3872734400000013,3.3659984000000236,189.0429938,-88.38727344,-162.36599840000002,262.91633650269813,190,-88,-159,4.120257275695598,-2.307253099999997,1.5381093800000016,3.0475109000000202,207.3072531,-63.53810938,-254.04751090000002,329.95454232363585,205,-62,-251,5.603396050449817,-2.0968578000000093,-4.6421453099999965,2.3348921999999845,315.0968578,-46.35785469,-224.33489219999998,387.1098035441624,313,-51,-222,2.0445119658647672,0.05676249999999072,1.990903099999997,-0.4616406000000097,321.9432375,-128.9909031,-132.5383594,370.81262114442654,322,-127,-133,0.0,27:50.8
