,Backward,Brand,Category,Class,Class_Target,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance
170,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:31.2,130.0384943007262,-16.399999999999974,122.9,-39.19999999999999,358.4,7.1,-245.8,463.77688601309137,342,130,-285,159.47925142392182,289.7169911806769,-0.330157321001894,51.06037127967653,130.0384943007262,400.1285970942127,510.6037127967653,510.6037127967653,324.2,178.49999999999997
171,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:31.6,133.50734062215454,-18.399999999999977,123.9,-46.19999999999999,358.4,7.1,-245.8,466.9314724882014,340,131,-292,187.95768917819356,286.8012454500965,-0.3649142304721384,54.859535181293765,133.50734062215454,420.4816003129823,548.5953518129376,548.5953518129376,340.2,188.49999999999997
172,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:32.1,131.79078116469302,-11.399999999999974,122.9,-46.19999999999999,358.4,7.1,-245.8,471.7764301022255,347,130,-292,187.95768917819356,292.8061781821426,-0.3435625620651279,53.62348748652044,131.79078116469302,401.6989289869184,536.2348748652043,536.2348748652043,338.2,180.49999999999997
173,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:32.5,128.91163640261496,-11.399999999999974,122.9,-37.19999999999999,358.4,7.1,-245.8,466.25958435189295,347,130,-283,151.34255492270142,292.8061781821426,-0.3061390959144756,49.41773894165707,128.91163640261496,384.27737366951504,494.1773894165707,494.1773894165707,320.2,171.49999999999997
174,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:32.9,129.53150195994795,-17.399999999999974,121.9,-40.19999999999999,358.4,7.1,-245.8,463.37673657619024,341,129,-286,163.54759967453214,290.74177107603305,-0.3383763760500317,51.42773177685267,129.53150195994795,402.4225940675695,514.2773177685267,514.2773177685267,324.2,179.49999999999997
175,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:33.3,132.31708128582645,-16.399999999999974,122.9,-46.19999999999999,358.4,7.1,-245.8,468.1110979244137,342,130,-292,187.95768917819356,289.7169911806769,-0.3595579134658473,54.33145628193914,132.31708128582645,413.62492496472873,543.3145628193914,543.3145628193914,338.2,185.49999999999997
176,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:33.8,129.50061775914432,-11.399999999999974,121.9,-42.19999999999999,358.4,7.1,-245.8,469.0351799172424,347,129,-288,171.68429617575254,294.43333488288823,-0.3276385643589816,51.51412136047044,129.5006177591443,391.96786025172264,515.1412136047045,515.1412136047045,328.2,175.49999999999997
177,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:34.2,127.97425522346279,-14.399999999999974,121.9,-36.19999999999999,358.4,7.1,-245.8,463.1425266589109,344,129,-282,147.2742066720911,292.60286799032644,-0.31207069267984916,49.12950749891822,127.9742552234628,387.389214676269,491.29507498918224,491.29507498918224,316.2,172.49999999999997
178,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:34.6,134.38456012503818,-20.399999999999977,124.9,-45.19999999999999,358.4,7.1,-245.8,465.1333142229226,338,132,-291,183.88934092758325,283.8553638852082,-0.36605287106388584,54.92463788922137,134.38456012503818,425.4686305839443,549.2463788922137,549.2463788922137,340.2,190.49999999999997
179,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:35.0,134.24756981040662,-17.399999999999974,126.9,-40.19999999999999,358.4,7.1,-245.8,464.7935025363414,341,134,-286,163.54759967453214,282.4907495172242,-0.33429576746694384,52.64293511352298,134.24756981040662,412.69327624645626,526.4293511352298,526.4293511352298,334.2,184.49999999999997
180,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:35.5,133.4346656607645,-14.399999999999974,127.9,-35.19999999999999,358.4,7.1,-245.8,464.2434706056726,344,135,-281,143.20585842148083,282.7827712882028,-0.3045441975617774,50.12518677579438,133.4346656607645,397.8163579133273,501.25186775794384,501.25186775794384,326.2,177.49999999999997
181,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:35.9,134.11342214707668,-16.399999999999974,128.9,-33.19999999999999,358.4,7.1,-245.8,461.84521216528816,342,136,-279,135.06916192026043,279.85410976454136,-0.3022553076696871,49.7273093547366,134.11342214707668,400.78693841471573,497.273093547366,497.273093547366,324.2,178.49999999999997
182,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:36.3,132.66126035885532,-20.399999999999977,121.9,-48.19999999999999,358.4,7.1,-245.8,466.1770050098996,338,129,-294,196.0943856794142,288.84932153238515,-0.38224105050254364,55.60076410190915,132.66126035885532,425.05949949475513,556.0076410190915,556.0076410190915,340.2,190.49999999999997
183,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:36.7,128.41421260904104,-27.399999999999977,122.9,-25.199999999999992,358.4,7.1,-245.8,447.10401474377295,331,130,-271,102.52237591537838,282.6101502193125,-0.30702735234713524,46.120337387617816,128.41421260904104,399.2884447530749,461.20337387617815,461.20337387617815,300.59999999999997,175.49999999999997
184,1,toyota,tercel,82.52045201039559,1,0.0,0.0,15:37.1,121.37631564683451,-32.399999999999984,115.9,15.800000000000011,358.4,7.1,-245.8,417.4985029913281,326,123,-230,-64.27990235964198,291.3048769965417,-0.15716282668537854,25.773162637203196,121.3763156468345,336.62684323014537,257.73162637203194,257.73162637203194,296.59999999999997,164.1
185,1,toyota,tercel,165.04090402079115,2,0.0,0.0,15:37.6,107.64576164438616,-24.399999999999977,98.9,34.80000000000001,358.4,7.1,-245.8,409.03911793372527,334,106,-211,-141.57851912123687,325.32678009126477,-0.03306331865980513,10.925839696319017,107.64576164438617,300.5093256856487,109.25839696319018,109.25839696319018,246.59999999999997,158.1
186,1,toyota,tercel,165.04090402079115,2,0.0,0.0,15:38.0,91.99027122473332,-2.3999999999999773,82.9,39.80000000000001,358.4,7.1,-245.8,421.0368154924223,356,90,-206,-161.9202603742881,362.20022083142686,0.10614709955939686,5.645857450521599,91.99027122473333,294.62594981710413,56.45857450521599,56.45857450521599,170.59999999999997,125.1
187,1,toyota,tercel,165.04090402079115,2,0.0,0.0,15:38.4,97.2553854549968,11.600000000000026,83.9,47.80000000000001,358.4,7.1,-245.8,429.4007452252498,370,91,-198,-194.4670463791701,366.11651174200335,0.18963345204014564,3.8211192251578483,97.2553854549968,337.0860087899187,38.21119225157849,38.21119225157849,144.59999999999997,143.30000000000004
188,1,toyota,tercel,165.04090402079115,2,0.0,0.0,15:38.8,128.86198042867417,-3.3999999999999773,-2.1,128.8,358.4,7.1,-245.8,373.816800050506,355,5,-117,-524.0032546786005,492.90885891526034,-42.26583794665846,-39.59565642172085,128.86198042867417,380.5746456491402,-395.9565642172085,-395.9565642172085,264.4,134.29999999999998
189,1,toyota,tercel,0.0,0,0.0,0.0,15:39.2,176.46362231349556,91.60000000000002,-80.1,127.8,358.4,7.1,-245.8,470.906572474838,450,-73,-118,-519.9349064279903,573.6125164403899,-0.7646553909304628,-21.755202325501894,176.46362231349556,617.3178859089843,-217.55202325501892,-217.55202325501892,415.8,299.5
190,1,toyota,tercel,0.0,0,0.0,0.0,15:39.7,37.47545863628623,-7.399999999999977,35.9,7.800000000000013,358.4,7.1,-245.8,426.2557917495082,351,43,-238,-31.73311635476006,435.49068778142924,-0.013326474530320242,5.393687363632979,37.47545863628623,92.83529884116268,53.93687363632979,53.93687363632979,86.59999999999995,51.09999999999999
191,1,toyota,tercel,0.0,0,0.0,0.0,15:40.1,18.24308088015838,1.6000000000000227,15.9,8.800000000000011,358.4,7.1,-245.8,431.62252026510384,360,23,-237,-35.801464605370256,467.10321772630374,0.25671646849845753,1.063701613445163,18.24308088015838,62.86306979334295,10.63701613445163,10.63701613445163,28.59999999999995,26.300000000000033
192,1,toyota,tercel,0.0,0,0.0,0.0,15:40.5,9.327915093953203,-2.3999999999999773,6.9,5.800000000000013,358.4,7.1,-245.8,429.5718798990457,356,14,-240,-23.59641985353955,479.9660830042708,0.255679292812538,-0.3184701922300342,9.327915093953205,27.231423224417647,-3.184701922300342,-3.184701922300342,18.59999999999995,15.099999999999989
193,1,toyota,tercel,0.0,0,0.0,0.0,15:40.9,8.03803458564341,-5.399999999999976,2.9000000000000004,-5.199999999999988,358.4,7.1,-245.8,433.2551211468827,353,10,-251,21.155410903173298,485.64086724338705,-1.454701549177501,3.7714876155531853,8.03803458564341,30.379305094813493,37.714876155531854,37.714876155531854,16.599999999999955,13.499999999999966
194,1,toyota,tercel,0.0,0,0.0,0.0,15:41.4,2.325940669922601,0.6000000000000227,1.9000000000000004,-1.1999999999999886,358.4,7.1,-245.8,435.85662780322616,359,9,-247,4.882017900732283,487.31207052354597,-0.21107021311754048,1.010648127783496,2.3259406699226015,6.409082428009287,10.10648127783496,10.10648127783496,6.199999999999978,3.7000000000000117
195,1,toyota,tercel,0.0,0,0.0,0.0,15:41.8,4.124318125460275,1.6000000000000227,-0.09999999999999963,3.8000000000000114,358.4,7.1,-245.8,433.83522217542463,360,7,-242,-15.459723352319044,490.18512036648946,-26.172950246500303,-1.002755596203361,4.124318125460275,13.132187037073892,-10.02755596203361,-10.02755596203361,7.800000000000022,5.500000000000034
196,1,toyota,tercel,0.0,0,0.0,0.0,15:42.2,3.001666203960715,-2.3999999999999773,-0.09999999999999963,1.8000000000000114,358.4,7.1,-245.8,431.6491630942888,356,7,-244,-7.323026851098535,490.07380974613704,-1.421213138068813,-0.7036850634014161,3.001666203960715,0.5277832053723862,-7.036850634014161,-7.036850634014161,8.399999999999977,4.299999999999988
197,1,toyota,tercel,0.0,0,0.0,0.0,15:42.6,4.517742799230587,-2.3999999999999773,-2.1,-3.1999999999999886,358.4,7.1,-245.8,434.4674901531759,356,5,-249,13.01871440195268,492.92891279842036,1.0736075732089434,2.3027454644038032,4.517742799230587,17.60862516604282,23.027454644038034,23.027454644038034,2.199999999999978,7.6999999999999655
198,1,toyota,tercel,0.0,0,0.0,0.0,15:43.0,3.7696153649941735,3.6000000000000227,-1.0999999999999996,-0.19999999999998866,358.4,7.1,-245.8,437.71680342431455,362,6,-246,0.8136696501219731,491.64518020250785,-0.9296991816344491,0.5884101328990736,3.769615364994174,8.578713877418581,5.884101328990736,5.884101328990736,9.400000000000045,4.900000000000011
199,1,toyota,tercel,0.0,0,0.0,0.0,15:43.5,5.060632371552017,1.6000000000000227,-0.09999999999999963,4.800000000000012,358.4,7.1,-245.8,433.2782016210832,360,7,-241,-19.52807160292924,490.18512036648946,-35.157337944742515,-1.3049849795015889,5.060632371552016,15.769102275754454,-13.049849795015888,-13.049849795015888,9.800000000000022,6.500000000000034
200,1,toyota,tercel,0.0,0,0.0,0.0,15:43.9,6.899999999999977,-4.399999999999976,-1.0999999999999996,-5.199999999999988,358.4,7.1,-245.8,433.9965437650397,354,6,-251,21.155410903173298,491.4548377553428,3.5461849814157516,3.256667292014962,6.899999999999977,24.2413881721825,32.56667292014962,32.56667292014962,8.199999999999978,10.699999999999966
201,1,toyota,tercel,0.0,0,0.0,0.0,15:44.3,5.216320542297977,-0.3999999999999773,-0.09999999999999963,-5.199999999999988,358.4,7.1,-245.8,437.2802305158558,358,7,-251,21.155410903173298,490.1297787830453,17.976804388044506,2.7361354481184934,5.216320542297977,14.693074747664017,27.361354481184932,27.361354481184932,10.199999999999978,5.6999999999999655
202,1,toyota,tercel,0.0,0,0.0,0.0,15:44.7,4.733920151417872,4.600000000000024,-1.0999999999999996,-0.19999999999998866,358.4,7.1,-245.8,438.5441824947631,363,6,-246,0.8136696501219731,491.66837855316874,-1.1919757490358607,0.6629940193271013,4.7339201514178715,10.384863247622556,6.629940193271013,6.629940193271013,11.400000000000045,5.900000000000011
203,1,toyota,tercel,0.0,0,0.0,0.0,15:45.1,1.9000000000000181,0.6000000000000227,-0.09999999999999963,1.8000000000000114,358.4,7.1,-245.8,434.1267096136795,359,7,-244,-7.323026851098535,490.15752734532043,-11.253531035698492,-0.47406621253952497,1.900000000000018,6.049970757203822,-4.740662125395249,-4.740662125395249,3.800000000000022,2.5000000000000338
204,1,toyota,tercel,0.0,0,0.0,0.0,15:45.6,5.797413216254276,-3.3999999999999773,-2.1,-4.199999999999989,358.4,7.1,-245.8,434.22344478390403,355,5,-250,17.08706265256299,492.90885891526034,1.4572765401564534,2.8931775068973598,5.797413216254276,22.069665534721782,28.931775068973597,28.931775068973597,4.199999999999978,9.699999999999966
205,1,toyota,tercel,0.0,0,0.0,0.0,15:46.0,3.5791060336346563,1.6000000000000227,-0.09999999999999963,-3.1999999999999886,358.4,7.1,-245.8,437.7784827969505,360,7,-249,13.01871440195268,490.18512036648946,6.494433968694144,1.5606146824099794,3.5791060336346563,5.8527488912364545,15.606146824099794,15.606146824099794,9.600000000000023,4.900000000000011
206,1,toyota,tercel,0.0,0,0.0,0.0,15:46.4,7.4839828968270865,4.600000000000024,-1.0999999999999996,5.800000000000013,358.4,7.1,-245.8,435.20684737260285,363,6,-240,-23.59641985353955,491.66837855316874,-3.731675593593955,-1.1537643416004975,7.483982896827086,26.112358248855013,-11.537643416004974,-11.537643416004974,13.800000000000022,11.500000000000034
207,1,toyota,tercel,0.0,0,0.0,0.0,15:46.8,3.436568055487893,-2.3999999999999773,-1.0999999999999996,-2.1999999999999886,358.4,7.1,-245.8,433.90782431295236,356,6,-248,8.950366151342593,491.5032316784769,1.6452846952853846,1.5582749701238017,3.4365680554878932,12.666850976931375,15.582749701238017,15.582749701238017,2.5999999999999552,5.6999999999999655
