,Backward,Brand,Category,Class,Class_Target,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag3_CarLen,Mag3_CarX,Mag3_CarY,Mag3_CarZ,Mag3_EnvX,Mag3_EnvY,Mag3_EnvZ,Mag3_Len,Mag3_X,Mag3_Y,Mag3_Z,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance
10,0.0,toyota,clotplus,0.0,0,1,6.457553716385176,-3.200000000000003,-1.0999999999999943,-5.5,50.2,-195.9,-145.5,252.62422686670413,47,-197,-151,3.1843366656181207,2.5999999999999943,0.6999999999999993,1.6999999999999886,190.4,-20.7,-246.7,312.52839870962134,193,-20,-245,4.628174586162449,1.0,-1.9000000000000004,4.099999999999993,358.0,9.9,-242.1,430.8004178270953,359,8,-238,12:17.9,8.417838202293963,-3.3999999999999773,0.10000000000002274,-7.699999999999988,458.4,-291.1,-172.3,569.3030827248348,455,-291,-180,44.68949506674402,690.6152288019124,30.105602955203647,5.028178031868524,8.417838202293964,19.327974798444835,50.28178031868524,50.28178031868524,15.600000000000023,11.199999999999989
11,0.0,toyota,clotplus,0.0,0,1,3.3015148038438347,2.799999999999997,0.9000000000000057,-1.5,50.2,-195.9,-145.5,249.88597399614085,53,-195,-147,1.93390796058136,0.5999999999999943,0.6999999999999993,1.6999999999999886,190.4,-20.7,-246.7,311.2972855647797,191,-20,-245,3.663331816802844,-3.0,-0.9000000000000004,-1.9000000000000057,358.0,9.9,-242.1,430.86192683967795,355,9,-244,12:18.3,4.545327270945414,1.6000000000000227,2.1000000000000227,-3.6999999999999886,458.4,-291.1,-172.3,571.0490346721548,460,-289,-176,21.47417295414966,689.3690242291465,0.18416924561134726,2.7259266154226913,4.545327270945414,11.549438932009826,27.259266154226914,27.259266154226914,11.600000000000023,7.400000000000034
12,0.0,toyota,clotplus,0.0,0,1,3.5916569992135936,0.7999999999999972,-0.09999999999999433,3.5,50.2,-195.9,-145.5,247.34793308212625,51,-196,-142,3.4842502780368725,-3.4000000000000057,-0.3000000000000007,0.6999999999999886,190.4,-20.7,-246.7,309.7192276885632,187,-21,-246,2.1023796041628664,0.0,-1.9000000000000004,-0.9000000000000057,358.0,9.9,-242.1,432.7551270637935,358,8,-243,12:18.7,5.025932749251647,2.6000000000000227,0.10000000000002274,4.300000000000011,458.4,-291.1,-172.3,570.461216911369,461,-291,-168,-24.95647127103895,689.702787287267,4.059421935004725,-2.061578585739643,5.025932749251647,12.28249808109555,-20.61578585739643,-20.61578585739643,8.399999999999977,7.000000000000057
13,0.0,toyota,clotplus,0.0,0,1,4.062019202317981,-3.200000000000003,-0.09999999999999433,-2.5,50.2,-195.9,-145.5,250.05799327356044,47,-196,-148,1.7720045146669257,1.5999999999999943,-0.3000000000000007,0.6999999999999886,190.4,-20.7,-246.7,312.7634889177444,192,-21,-246,4.406812907306136,3.0,-0.9000000000000004,3.0999999999999943,358.0,9.9,-242.1,433.03925919020315,361,9,-239,12:19.1,7.527283706623532,-2.3999999999999773,6.100000000000023,-3.6999999999999886,458.4,-291.1,-172.3,565.8065040276579,456,-285,-176,21.47417295414966,688.998622004134,0.17808745651651264,3.0033836568450267,7.527283706623531,17.179707550346034,30.03383656845027,30.03383656845027,19.600000000000023,12.199999999999989
14,0.0,toyota,clotplus,0.0,0,1,3.619392214170773,-0.20000000000000284,0.9000000000000057,-3.5,50.2,-195.9,-145.5,250.45159212909786,50,-195,-149,3.541186241925145,2.5999999999999943,1.6999999999999993,1.6999999999999886,190.4,-20.7,-246.7,312.46599815019874,193,-19,-245,4.027406113120456,-3.0,-1.9000000000000004,-1.9000000000000057,358.0,9.9,-242.1,430.8421984903521,355,8,-244,12:19.5,12.395967086113124,-1.3999999999999773,6.100000000000023,-10.699999999999989,458.4,-291.1,-172.3,568.8259839353333,457,-285,-183,62.100986651189686,688.8418235272981,-0.1233604361564501,7.3266664727992925,12.395967086113126,30.44057873488204,73.26666472799292,73.26666472799292,33.60000000000002,18.19999999999999
15,0.0,toyota,clotplus,0.0,0,1,6.236986451805071,2.799999999999997,0.9000000000000057,5.5,50.2,-195.9,-145.5,245.8332768361517,53,-195,-140,3.679673898594815,-2.4000000000000057,0.6999999999999993,2.6999999999999886,190.4,-20.7,-246.7,308.67458593152764,188,-20,-244,4.921381919745717,-3.0,0.09999999999999963,-3.9000000000000057,358.0,9.9,-242.1,432.01967547786523,355,10,-246,12:20.0,6.329296959378686,2.6000000000000227,5.100000000000024,-2.6999999999999886,458.4,-291.1,-172.3,570.0368409146904,461,-286,-175,15.670342426001183,688.4666891217468,0.44157498007769325,2.9004246490650587,6.329296959378686,17.891245141965605,29.004246490650587,29.004246490650587,15.600000000000023,10.400000000000034
16,0.0,toyota,clotplus,0.0,0,1,2.664582518894848,-2.200000000000003,-0.09999999999999433,1.5,50.2,-195.9,-145.5,247.90320691753868,48,-196,-144,3.813135192987536,-1.4000000000000057,-1.3000000000000007,-3.300000000000012,190.4,-20.7,-246.7,314.1735189349987,189,-22,-250,5.7982756057296845,4.0,-0.9000000000000004,4.099999999999993,358.0,9.9,-242.1,433.32320500984014,362,9,-238,12:20.4,2.3366642891095935,-0.3999999999999773,0.10000000000002274,2.300000000000012,458.4,-291.1,-172.3,568.6343288968756,458,-291,-170,-13.348810214741768,690.159912668994,-1.0285623429567332,-1.176463774016967,2.336664289109593,5.062631914083237,-11.76463774016967,-11.76463774016967,5.399999999999977,2.8000000000000114
17,0.0,toyota,clotplus,0.0,0,1,4.743416490252571,-3.200000000000003,-0.09999999999999433,-3.5,50.2,-195.9,-145.5,250.6511520021402,47,-196,-149,4.211887937730543,2.5999999999999943,-0.3000000000000007,-3.300000000000012,190.4,-20.7,-246.7,316.5280398321766,193,-21,-250,2.2847319317591674,0.0,-0.9000000000000004,2.0999999999999943,358.0,9.9,-242.1,431.0974367819878,358,9,-240,12:20.8,6.727555276621647,-3.3999999999999773,1.1000000000000227,-5.699999999999988,458.4,-291.1,-172.3,568.1628287735832,455,-290,-178,33.08183401044684,690.3773369144095,-6.86916834917336,3.7444802261779153,6.727555276621647,15.213078300964023,37.44480226177915,37.44480226177915,13.600000000000023,10.199999999999989
18,0.0,toyota,clotplus,0.0,0,1,4.277849927241488,3.799999999999997,1.9000000000000057,-0.5,50.2,-195.9,-145.5,248.73278834926444,54,-194,-146,3.760319135392621,0.5999999999999943,-0.3000000000000007,3.6999999999999886,190.4,-20.7,-246.7,309.79186561302737,191,-21,-243,4.268489194082613,-3.0,-0.9000000000000004,-2.9000000000000057,358.0,9.9,-242.1,431.42902081338934,355,9,-245,12:21.2,5.085272854036449,1.6000000000000227,1.1000000000000227,-4.699999999999988,458.4,-291.1,-172.3,571.8644944390236,460,-290,-177,27.27800348229814,689.6132629855862,-0.06451791596707293,3.138529270342938,5.085272854036449,11.180811286536308,31.38529270342938,31.38529270342938,12.600000000000023,7.400000000000034
19,0.0,toyota,clotplus,0.0,0,1,6.6105975524153635,0.7999999999999972,0.9000000000000057,6.5,50.2,-195.9,-145.5,244.840764579757,51,-195,-139,6.522269543648143,-3.4000000000000057,1.6999999999999993,-5.300000000000012,190.4,-20.7,-246.7,314.37875246269425,187,-19,-252,2.9017236257093857,2.0,-0.9000000000000004,-1.9000000000000057,358.0,9.9,-242.1,434.99080450050894,360,9,-244,12:21.7,3.009983388658512,1.6000000000000227,1.1000000000000227,2.300000000000012,458.4,-291.1,-172.3,569.7367813297644,460,-290,-170,-13.348810214741768,689.6132629855862,1.4024288407258145,-0.8629204116994749,3.0099833886585117,8.776562987333147,-8.62920411699475,-8.62920411699475,2.3999999999999773,5.000000000000057
20,0.0,toyota,clotplus,0.0,0,1,6.3639610306789285,-3.200000000000003,-0.09999999999999433,-5.5,50.2,-195.9,-145.5,251.84519054371484,47,-196,-151,5.580322571321491,1.5999999999999943,0.6999999999999993,-5.300000000000012,190.4,-20.7,-246.7,317.43975806442387,192,-20,-252,6.482283548256736,2.0,-0.9000000000000004,6.099999999999994,358.0,9.9,-242.1,430.55429390496147,360,9,-236,12:22.1,4.8228622207149865,-3.3999999999999773,2.1000000000000227,-2.6999999999999886,458.4,-291.1,-172.3,566.7195073402714,455,-289,-175,15.670342426001183,690.1372825700968,-1.7359161072171547,1.8458375805202265,4.822862220714986,9.142407679594067,18.458375805202266,18.458375805202266,11.0,8.199999999999989
21,0.0,toyota,clotplus,0.0,0,1,4.03732584763727,1.7999999999999972,0.9000000000000057,-3.5,50.2,-195.9,-145.5,250.85852586667247,52,-195,-149,6.673829485385423,2.5999999999999943,-2.3000000000000007,5.699999999999988,190.4,-20.7,-246.7,309.61104631456544,193,-23,-241,3.663331816802844,-3.0,-0.9000000000000004,-1.9000000000000057,358.0,9.9,-242.1,430.86192683967795,355,9,-244,12:22.5,6.087692502089765,-0.3999999999999773,2.1000000000000227,-5.699999999999988,458.4,-291.1,-172.3,570.0605231025912,458,-289,-178,33.08183401044684,689.6769005244182,-0.30236939606510593,3.8301448088154944,6.087692502089765,15.026800568730515,38.30144808815494,38.30144808815494,15.600000000000023,8.199999999999989
