,Backward,Brand,Category,Class,Class_Target,Forward,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
54,0.0,toyota,clotplus,0.0,0,1,12:36.4,5.128352561983234,-2.200000000000003,-1.0999999999999943,-4.5,50.2,-195.9,-145.5,252.21617711796364,48,-197,-150
55,0.0,toyota,clotplus,0.0,0,1,12:36.8,3.535533905932732,2.799999999999997,-2.0999999999999943,0.5,50.2,-195.9,-145.5,251.073694360839,53,-198,-145
56,0.0,toyota,clotplus,0.0,0,1,12:37.2,8.961026726887937,3.799999999999997,-3.0999999999999943,7.5,50.2,-195.9,-145.5,248.114892741246,54,-199,-138
57,0.0,toyota,clotplus,0.0,0,1,12:37.7,4.159326868617081,-1.2000000000000028,-3.0999999999999943,2.5,50.2,-195.9,-145.5,249.9019807844668,49,-199,-143
58,0.0,toyota,clotplus,0.0,0,1,12:38.1,6.008327554319919,-1.2000000000000028,-2.0999999999999943,-5.5,50.2,-195.9,-145.5,253.7833721897477,49,-198,-151
59,0.0,toyota,clotplus,0.0,0,1,12:38.5,6.252999280345389,3.799999999999997,-2.0999999999999943,4.5,50.2,-195.9,-145.5,249.0,54,-198,-141
60,0.0,toyota,clotplus,0.0,0,1,12:38.9,7.409453421137077,2.799999999999997,-4.099999999999994,5.5,50.2,-195.9,-145.5,249.81793370372753,53,-200,-140
61,0.0,toyota,clotplus,0.0,0,1,12:39.3,3.8340579025361596,-2.200000000000003,-3.0999999999999943,-0.5,50.2,-195.9,-145.5,251.43786508797754,48,-199,-146
62,0.0,toyota,clotplus,0.0,0,1,12:39.8,4.636809247747851,-0.20000000000000284,-1.0999999999999943,-4.5,50.2,-195.9,-145.5,252.60443384865596,50,-197,-150
63,0.0,toyota,clotplus,0.0,0,1,12:40.9,5.941380311005177,0.7999999999999972,-2.0999999999999943,5.5,50.2,-195.9,-145.5,247.8003228407905,51,-198,-140
64,0.0,toyota,clotplus,0.0,0,1,12:41.3,3.5071355833500366,-2.200000000000003,-1.0999999999999943,-2.5,50.2,-195.9,-145.5,251.03187048659777,48,-197,-148
65,0.0,toyota,clotplus,0.0,0,1,12:41.7,3.7282703764614453,1.7999999999999972,-2.0999999999999943,-2.5,50.2,-195.9,-145.5,252.6103719169108,52,-198,-148
66,0.0,toyota,clotplus,0.0,0,1,12:42.1,5.282045058497699,3.799999999999997,-1.0999999999999943,3.5,50.2,-195.9,-145.5,248.77499874384483,54,-197,-142
67,0.0,toyota,clotplus,0.0,0,1,12:42.6,4.679743582719032,-0.20000000000000284,-3.0999999999999943,3.5,50.2,-195.9,-145.5,249.52955736745898,50,-199,-142
68,0.0,toyota,clotplus,0.0,0,1,12:43.0,2.9832867780352585,-1.2000000000000028,-1.0999999999999943,-2.5,50.2,-195.9,-145.5,251.22499875609512,49,-197,-148
69,0.0,toyota,clotplus,0.0,0,1,12:43.4,4.679743582719032,3.799999999999997,-1.0999999999999943,2.5,50.2,-195.9,-145.5,249.34714756740252,54,-197,-143
70,0.0,toyota,clotplus,0.0,0,1,12:43.8,6.906518659932799,2.799999999999997,-3.0999999999999943,5.5,50.2,-195.9,-145.5,249.0180716333656,53,-199,-140
71,0.0,toyota,clotplus,0.0,0,1,12:44.3,4.527692569068704,-1.2000000000000028,-4.099999999999994,1.5,50.2,-195.9,-145.5,251.27077028576164,49,-200,-144
72,0.0,toyota,clotplus,0.0,0,1,12:44.7,5.594640292279743,-1.2000000000000028,-3.0999999999999943,-4.5,50.2,-195.9,-145.5,253.97243944963793,49,-199,-150
73,0.0,toyota,clotplus,0.0,0,1,12:45.1,5.57673739743947,3.799999999999997,-2.0999999999999943,3.5,50.2,-195.9,-145.5,249.56762610563095,54,-198,-142
74,0.0,toyota,clotplus,0.0,0,1,12:45.5,7.409453421137077,2.799999999999997,-4.099999999999994,5.5,50.2,-195.9,-145.5,249.81793370372753,53,-200,-140
75,0.0,toyota,clotplus,0.0,0,1,12:45.9,4.679743582719032,-2.200000000000003,-4.099999999999994,0.5,50.2,-195.9,-145.5,251.65253823476527,48,-200,-145
76,0.0,toyota,clotplus,0.0,0,1,12:46.4,3.8858718455450836,1.7999999999999972,-3.0999999999999943,-1.5,50.2,-195.9,-145.5,252.81218325072865,52,-199,-147
77,0.0,toyota,clotplus,0.0,0,1,12:46.8,6.906518659932799,4.799999999999997,-2.0999999999999943,4.5,50.2,-195.9,-145.5,249.218779388713,55,-198,-141
78,0.0,toyota,clotplus,0.0,0,1,12:47.2,4.0865633483405075,-0.20000000000000284,-2.0999999999999943,3.5,50.2,-195.9,-145.5,248.73278834926447,50,-198,-142
