,Backward,Brand,Category,Class,Class_Target,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
149,0.0,toyota,clotplus,111.37762342589286,1,1,181.59377742643053,-12.200000000000003,-181.1,5.5,50.2,-195.9,-145.5,403.9467786726365,38,-377,-140,179.50247909151562,-4.400000000000006,-179.3,-7.300000000000011,190.4,-20.7,-246.7,372.97721110008854,186,-200,-254,178.9235032073763,-2.0,-178.9,2.0999999999999943,358.0,9.9,-242.1,461.4076288922844,356,-169,-240
150,0.0,toyota,clotplus,111.37762342589286,1,1,179.34408270138158,-8.200000000000003,-179.1,4.5,50.2,-195.9,-145.5,402.8275065086792,42,-375,-141,180.34616713420888,-2.4000000000000057,-180.3,-3.3000000000000114,190.4,-20.7,-246.7,371.8131251045342,188,-201,-250,178.0921671494847,-8.0,-177.9,2.0999999999999943,358.0,9.9,-242.1,456.4252403187186,350,-168,-240
151,0.0,toyota,clotplus,111.37762342589286,1,1,179.40094760061888,-4.200000000000003,-179.1,9.5,50.2,-195.9,-145.5,401.54327288599916,46,-375,-136,180.45204349078455,-7.400000000000006,-180.3,-0.30000000000001137,190.4,-20.7,-246.7,367.285992109691,183,-201,-247,180.14444204582057,-8.0,-179.9,-4.900000000000006,358.0,9.9,-242.1,460.87850893700823,350,-170,-247
152,0.0,toyota,clotplus,111.37762342589286,1,1,181.82216586544115,-7.200000000000003,-181.1,14.5,50.2,-195.9,-145.5,401.42122514884534,43,-377,-131,179.8414301544558,-9.400000000000006,-179.3,-10.300000000000011,190.4,-20.7,-246.7,372.5721406654019,181,-200,-257,177.92756953322328,-3.0,-177.9,-0.9000000000000057,358.0,9.9,-242.1,461.84196431246914,355,-168,-243
153,0.0,toyota,clotplus,111.37762342589286,1,1,181.52933647209753,-11.200000000000003,-181.1,5.5,50.2,-195.9,-145.5,404.04207701673846,39,-377,-140,180.54456513559194,-4.400000000000006,-180.3,-8.300000000000011,190.4,-20.7,-246.7,374.1951362591449,186,-201,-255,178.95703394949302,-4.0,-178.9,2.0999999999999943,358.0,9.9,-242.1,459.86628491334307,354,-169,-240
154,0.0,toyota,clotplus,111.37762342589286,1,1,178.26469083921245,-6.200000000000003,-178.1,4.5,50.2,-195.9,-145.5,402.1106812806643,44,-374,-141,179.34029106701038,-3.4000000000000057,-179.3,1.6999999999999886,190.4,-20.7,-246.7,367.41529636094356,187,-200,-245,179.13631680929473,-9.0,-178.9,-1.9000000000000057,358.0,9.9,-242.1,458.1462648543585,349,-169,-244
155,0.0,toyota,clotplus,111.37762342589286,1,1,180.5920817754754,-8.200000000000003,-180.1,10.5,50.2,-195.9,-145.5,401.7026263294777,42,-376,-135,178.69678228776255,-9.400000000000006,-178.3,-7.300000000000011,190.4,-20.7,-246.7,369.97026907577316,181,-199,-254,177.92756953322328,-3.0,-177.9,-0.9000000000000057,358.0,9.9,-242.1,461.84196431246914,355,-168,-243
156,0.0,toyota,clotplus,111.37762342589286,1,1,179.6716449526747,-12.200000000000003,-179.1,7.5,50.2,-195.9,-145.5,401.38883890810916,38,-375,-138,178.59658451381426,-4.400000000000006,-178.3,-9.300000000000011,190.4,-20.7,-246.7,373.8087746428647,186,-199,-256,179.95782839320995,-2.0,-179.9,4.099999999999994,358.0,9.9,-242.1,460.73853756767517,356,-170,-238
157,0.0,toyota,clotplus,111.37762342589286,1,1,180.2501040221614,-7.200000000000003,-180.1,1.5,50.2,-195.9,-145.5,404.9209799454703,43,-376,-144,177.34694809891712,-2.4000000000000057,-177.3,-3.3000000000000114,190.4,-20.7,-246.7,370.1999459751446,188,-198,-250,178.12978414627915,-9.0,-177.9,-0.9000000000000057,358.0,9.9,-242.1,457.2461044120551,349,-168,-243
158,0.0,toyota,clotplus,111.37762342589286,1,1,179.45668000941063,-4.200000000000003,-179.1,10.5,50.2,-195.9,-145.5,401.20568291089796,46,-375,-135,179.563192219341,-7.400000000000006,-179.3,-6.300000000000011,190.4,-20.7,-246.7,370.8072275455267,183,-200,-253,178.14718633758997,-8.0,-177.9,-4.900000000000006,358.0,9.9,-242.1,460.14454250811235,350,-168,-247
159,0.0,toyota,clotplus,111.37762342589286,1,1,181.8172159065252,-10.200000000000003,-181.1,12.5,50.2,-195.9,-145.5,401.7685901112729,40,-377,-133,179.85199470675883,-8.400000000000006,-179.3,-11.300000000000011,190.4,-20.7,-246.7,373.7485785926149,182,-200,-258,177.93543772953157,-3.0,-177.9,-1.9000000000000057,358.0,9.9,-242.1,462.3689003382472,355,-168,-244
160,0.0,toyota,clotplus,111.37762342589286,1,1,180.42255956503888,-10.200000000000003,-180.1,3.5,50.2,-195.9,-145.5,403.9059296420393,40,-376,-142,178.4655148761239,-2.4000000000000057,-178.3,-7.300000000000011,190.4,-20.7,-246.7,373.4447750337391,188,-199,-254,179.04250891897152,-5.0,-178.9,5.099999999999994,358.0,9.9,-242.1,457.53579094973543,353,-169,-237
161,0.0,toyota,clotplus,111.37762342589286,1,1,179.37697734101775,-5.200000000000003,-179.1,8.5,50.2,-195.9,-145.5,401.76983460683056,45,-375,-137,180.35392981579304,-4.400000000000006,-180.3,-0.30000000000001137,190.4,-20.7,-246.7,368.7899130941626,186,-201,-247,178.2044331659569,-10.0,-177.9,-2.9000000000000057,358.0,9.9,-242.1,457.55109004350544,348,-168,-245
162,0.0,toyota,clotplus,111.37762342589286,1,1,180.63969663393482,-6.200000000000003,-180.1,12.5,50.2,-195.9,-145.5,401.2492990648083,44,-376,-133,180.69239054260146,-9.400000000000006,-180.3,-7.300000000000011,190.4,-20.7,-246.7,371.04986187842735,181,-201,-254,178.09890510612357,-6.0,-177.9,-5.900000000000006,358.0,9.9,-242.1,462.2034184209373,352,-168,-248
163,0.0,toyota,clotplus,111.37762342589286,1,1,181.56238597242546,-11.200000000000003,-181.1,6.5,50.2,-195.9,-145.5,403.69666830430987,39,-377,-139,179.8353135510376,-6.400000000000006,-179.3,-12.300000000000011,190.4,-20.7,-246.7,375.41576951428135,184,-200,-259,178.95200473870082,-3.0,-178.9,3.0999999999999943,358.0,9.9,-242.1,460.11628964860614,355,-169,-239
164,0.0,toyota,clotplus,111.37762342589286,1,1,180.40371393072814,-8.200000000000003,-180.1,6.5,50.2,-195.9,-145.5,403.06451096567656,42,-376,-139,179.39437003429066,-2.4000000000000057,-179.3,-5.300000000000011,190.4,-20.7,-246.7,372.6231340107589,188,-200,-252,180.07781651275096,-8.0,-179.9,0.09999999999999432,358.0,9.9,-242.1,458.21828859180204,350,-170,-242
165,0.0,toyota,clotplus,111.37762342589286,1,1,180.284497392316,-3.200000000000003,-180.1,7.5,50.2,-195.9,-145.5,403.27286048034523,47,-376,-138,180.4282128714908,-6.400000000000006,-180.3,-2.3000000000000114,190.4,-20.7,-246.7,369.13141291415445,184,-201,-249,178.1948933050552,-9.0,-177.9,-4.900000000000006,358.0,9.9,-242.1,459.3843706527247,349,-168,-247
166,0.0,toyota,clotplus,111.37762342589286,1,1,180.82615961193224,-7.200000000000003,-180.1,14.5,50.2,-195.9,-145.5,400.48220934268727,43,-376,-131,179.90147303454745,-9.400000000000006,-179.3,-11.300000000000011,190.4,-20.7,-246.7,373.2626421167808,181,-200,-258,176.96898033271256,-4.0,-176.9,-2.9000000000000057,358.0,9.9,-242.1,461.7683401880211,354,-167,-245
167,0.0,toyota,clotplus,111.37762342589286,1,1,181.56238597242546,-11.200000000000003,-181.1,6.5,50.2,-195.9,-145.5,403.69666830430987,39,-377,-139,178.62961680527673,-3.4000000000000057,-178.3,-10.300000000000011,190.4,-20.7,-246.7,374.99199991466486,187,-199,-257,178.95703394949302,-4.0,-178.9,2.0999999999999943,358.0,9.9,-242.1,459.86628491334307,354,-169,-240
168,0.0,toyota,clotplus,111.37762342589286,1,1,175.30573293534925,-7.200000000000003,-175.1,-4.5,50.2,-195.9,-145.5,402.47981315837444,43,-371,-150,175.57944070989635,-3.4000000000000057,-175.3,-9.300000000000011,190.4,-20.7,-246.7,372.72107533650416,187,-196,-256,175.30949774612898,-9.0,-174.9,-7.900000000000006,358.0,9.9,-242.1,459.9195581838198,349,-165,-250
169,0.0,toyota,clotplus,111.37762342589286,1,1,182.70440607713869,-3.200000000000003,-182.1,14.5,50.2,-195.9,-145.5,402.80764640210094,47,-378,-131,180.51022131724287,-8.400000000000006,-180.3,-2.3000000000000114,190.4,-20.7,-246.7,368.1385608707678,182,-201,-249,179.10393630515216,-7.0,-178.9,-4.900000000000006,358.0,9.9,-242.1,461.27106997946447,351,-169,-247
170,0.0,toyota,clotplus,111.37762342589286,1,1,181.58606774750095,-10.200000000000003,-181.1,8.5,50.2,-195.9,-145.5,403.11040671260275,40,-377,-137,179.70959907584236,-6.400000000000006,-179.3,-10.300000000000011,190.4,-20.7,-246.7,374.03876804416944,184,-200,-257,179.91114473539432,-2.0,-179.9,0.09999999999999432,358.0,9.9,-242.1,462.81745861624535,356,-170,-242
171,0.0,toyota,clotplus,111.37762342589286,1,1,181.3193315672656,-8.200000000000003,-181.1,3.5,50.2,-195.9,-145.5,405.0395042461908,42,-377,-142,179.39437003429066,-2.4000000000000057,-179.3,-5.300000000000011,190.4,-20.7,-246.7,372.6231340107589,188,-200,-252,179.04753558761988,-6.0,-178.9,4.099999999999994,358.0,9.9,-242.1,457.28437541643603,352,-169,-238
