,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance
13,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:29.7,1.865056969639265,0.2375000000000113,1.375,1.2374999999999972,318.7625,-135.375,-110.2375,362.7643863446356,319,-134,-109,-18.018018018018054,654.6215434019831,7.585971024667077,-1.5641481744449293,2.23606797749979,8.119040346428296,-15.641481744449292,-15.641481744449292,4.0,3.0
14,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:30.1,0.5034257641400607,0.2375000000000113,0.375,0.2374999999999972,318.7625,-135.375,-110.2375,363.4363768254356,319,-135,-110,-9.009009009009027,655.3307842743454,-0.26444693618260173,-0.6743462211650897,1.7320508075688772,5.812104815466956,-6.743462211650897,-6.743462211650897,4.0,3.0
15,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:30.5,2.797934506024046,0.2375000000000113,0.375,-2.762500000000003,318.7625,-135.375,-110.2375,364.35559553820497,319,-135,-113,18.018018018018054,655.3307842743454,2.036715733788746,2.0613200478251326,2.449489742783178,6.518753523823806,20.613200478251326,20.613200478251326,6.0,4.0
16,1,nisson,0,0,0,0,teana,0.0,0,177.724375,-105.0475,-157.1425,198.45125,-73.824375,-246.0,303.225625,-53.721875,-197.0975,318.824375,-135.35625,-110.175625,0.0,0.0,18:31.0,1.7003241878389082,1.1756250000000248,0.35624999999998863,1.1756249999999966,318.824375,-135.35625,-110.175625,364.0137360045634,320,-135,-109,-18.018018018018054,655.0323331813121,-1.5207460296358313,-1.49866473322382,3.0,9.805134548462547,-14.986647332238201,-14.986647332238201,6.0,5.0
17,1,nisson,0,0,0,0,teana,0.0,0,177.724375,-105.0475,-157.1425,198.45125,-73.824375,-246.0,303.225625,-53.721875,-197.0975,318.824375,-135.35625,-110.175625,0.0,0.0,18:31.4,1.5968257086325932,0.17562500000002498,1.3562499999999886,-0.8243750000000034,318.824375,-135.35625,-110.175625,363.37033450737283,319,-134,-111,0.0,654.6215434019831,0.7094134695075852,0.1526117011920458,1.0,2.265652283638342,1.5261170119204581,1.5261170119204581,2.0,1.0
18,1,nisson,0,0,0,0,teana,0.0,0,177.724375,-105.0475,-157.1425,198.45125,-73.824375,-246.0,303.225625,-53.721875,-197.0975,318.824375,-135.35625,-110.175625,0.0,0.0,18:31.8,0.6900016983674911,0.17562500000002498,-0.6437500000000114,0.1756249999999966,318.824375,-135.35625,-110.175625,363.80901583110875,319,-136,-110,-9.009009009009027,656.0338040675167,0.10221716666642296,-0.4423835701988177,2.449489742783178,8.441743782621025,-4.423835701988176,-4.423835701988176,6.0,4.0
19,1,nisson,0,0,0,0,teana,0.0,0,177.724375,-105.0475,-157.1425,198.45125,-73.824375,-246.0,303.225625,-53.721875,-197.0975,318.824375,-135.35625,-110.175625,0.0,0.0,18:32.2,1.8671106940270081,0.17562500000002498,0.35624999999998863,-1.824375000000004,318.824375,-135.35625,-110.175625,364.0467003009367,319,-135,-112,9.009009009008917,655.3307842743454,0.8534735107680825,1.1175695745020364,1.7320508075688772,3.6065097382952938,11.175695745020365,11.175695745020365,4.0,3.0
20,1,nisson,0,0,0,0,teana,0.0,0,177.724375,-105.0475,-157.1425,198.45125,-73.824375,-246.0,303.225625,-53.721875,-197.0975,318.824375,-135.35625,-110.175625,0.0,0.0,18:32.6,0.9150695841027644,0.17562500000002498,0.35624999999998863,-0.8243750000000034,318.824375,-135.35625,-110.175625,363.74029196667226,319,-135,-111,0.0,655.3307842743454,0.17521141559831266,0.1740921805194806,1.4142135623730951,2.791151807241654,1.740921805194806,1.740921805194806,4.0,2.0
21,1,nisson,0,0,0,0,teana,0.0,0,177.724375,-105.0475,-157.1425,198.45125,-73.824375,-246.0,303.225625,-53.721875,-197.0975,318.824375,-135.35625,-110.175625,0.0,0.0,18:33.1,1.2409078707744554,0.17562500000002498,0.35624999999998863,1.1756249999999966,318.824375,-135.35625,-110.175625,363.13496113704076,319,-135,-109,-18.018018018018054,655.3307842743454,-0.5725426956002561,-1.4715598977253164,2.449489742783178,9.351549598554055,-14.715598977253164,-14.715598977253164,6.0,4.0
22,1,nisson,0,0,0,0,teana,0.0,0,177.6881563,-105.045125,-157.185375,198.4286875,-73.83315625,-246.0,303.2143438,-53.68578125,-197.042625,318.8331563,-135.3384375,-110.1168438,0.0,0.0,18:33.5,1.17886251752883,0.16684370000001536,0.3384374999999977,1.1168438000000125,318.8331563,-135.3384375,-110.1168438,363.13496113704076,319,-135,-109,-18.018018018018054,655.3307842743454,-0.5725426956002561,-1.4715598977253164,2.449489742783178,9.351549598554055,-14.715598977253164,-14.715598977253164,6.0,4.0
